Bus Name,Departure time,Arrival Time,Price/seat
Alhamra Paribahan,11:00 PM,7:00 PM,৳ 1200
Hanif Enterprise,11:00 PM,6:00 AM,৳ 550
Asad Enterprise,11:00 PM,4:30 AM,৳ 1000
Hanif Enterprise,11:00 PM,6:00 AM,৳ 900
Hanif Enterprise,11:00 PM,6:00 AM,৳ 550
Nabil Paribahan,11:00 PM,4:30 AM,৳ 800
Hanif Enterprise,11:00 PM,5:00 AM,৳ 1400
Hanif Enterprise,11:00 PM,7:00 AM,৳ 1400
S.R Travels (Pvt) Ltd,11:10 PM,4:10 AM,৳ 1200
Akota Transport,11:15 PM,7:00 AM,৳ 550
S.R Travels (Pvt) Ltd,11:20 PM,4:20 AM,৳ 550
Unity,11:20 PM,7:20 AM,৳ 700
S.R Travels (Pvt) Ltd,11:25 PM,5:25 AM,৳ 650
Alhamra Paribahan,11:30 PM,7:55 AM,৳ 800
Orin Travels,11:30 PM,5:15 AM,৳ 1000
Manik Express,11:30 PM,4:30 AM,৳ 550
Hanif Enterprise,11:30 PM,5:00 AM,৳ 1300 | ৳ 1200
S.R Travels (Pvt) Ltd,11:30 PM,4:30 AM,৳ 1300 | ৳ 1200
Hanif Enterprise,11:30 PM,8:10 AM,৳ 850
Hanif Enterprise,11:30 PM,6:30 AM,৳ 550
S.R Travels (Pvt) Ltd,11:40 PM,4:40 AM,৳ 550
Nabil Paribahan,11:45 PM,4:00 AM,৳ 550
Akota Transport,11:45 PM,5:00 PM,৳ 550
S.R Travels (Pvt) Ltd,11:50 PM,4:50 AM,৳ 1200
S.R Travels (Pvt) Ltd,11:55 PM,4:55 AM,৳ 1200
Unity,11:55 PM,7:55 AM,৳ 1200
Nabil Paribahan,11:55 PM,4:00 AM,৳ 545
Akota Transport,11:55 PM,4:55 AM,৳ 550
Unity,11:55 PM,7:55 AM,৳ 550
Manik Express,11:59 PM,5:30 AM,৳ 900
