Bus name,Departure time,arrival time,price/seat
Ena Transport (Pvt) Ltd,6:00 PM,11:50 PM,৳ 750
Tungipara Express,6:00 PM,2:00 PM,৳ 650
Tungipara Express,6:00 PM,9:00 PM,৳ 650
Emad Paribahan(Pvt.)Ltd.,6:00 PM,2:00 AM,৳ 650
Saintmartin Hyundai (Robi Express),6:00 PM,2:00 AM,৳ 1200
Emad Paribahan(Pvt.)Ltd.,6:30 PM,2:30 AM,৳ 1300
SHOHAGH PARIBAHAN,6:30 PM,2:30 AM,৳ 650
Emad Paribahan(Pvt.)Ltd.,6:30 PM,11:30 PM,৳ 1200
SHOHAGH PARIBAHAN,6:30 PM,2:30 AM,৳ 650
Emad Paribahan(Pvt.)Ltd.,6:30 PM,2:30 AM,৳ 650
Tungipara Express,6:30 PM,9:00 PM,৳ 650
Emad Paribahan(Pvt.)Ltd.,6:45 PM,2:45 AM,৳ 650
Hanif Enterprise,7:00 PM,4:30 AM,৳ 650
Ena Transport (Pvt) Ltd,7:00 PM,12:00 AM,৳ 750
SHOHAGH PARIBAHAN,7:15 PM,3:15 AM,৳ 650
Tungipara Express,7:15 PM,12:00 AM,৳ 650
Emad Paribahan(Pvt.)Ltd.,7:15 PM,11:40 PM,৳ 650
Tungipara Express,7:30 PM,9:00 PM,৳ 650
Dola Paribahan Ltd,7:30 PM,12:30 AM,৳ 650
Tungipara Express,7:40 PM,1:00 AM,৳ 650 | ৳ 600
Emad Paribahan(Pvt.)Ltd.,7:45 PM,3:45 AM,৳ 650
Tungipara Express,8:00 PM,4:00 AM,৳ 650
Emad Paribahan(Pvt.)Ltd.,8:00 PM,2:00 AM,৳ 650
M R Paribahan,8:30 PM,6:00 AM,৳ 650
Ena Transport (Pvt) Ltd,8:30 PM,1:30 AM,৳ 1200
Emad Paribahan(Pvt.)Ltd.,8:30 PM,4:30 AM,৳ 900
Emad Paribahan(Pvt.)Ltd.,8:30 PM,2:00 AM,৳ 650
Tungipara Express,8:30 PM,1:15 AM,৳ 650
Emad Paribahan(Pvt.)Ltd.,8:30 PM,3:30 AM,৳ 650
Hanif Enterprise,8:45 PM,3:45 AM,৳ 650
Emad Paribahan(Pvt.)Ltd.,9:00 PM,3:00 AM,৳ 650
SHOHAGH PARIBAHAN,9:00 PM,5:00 AM,৳ 700
Tungipara Express,9:15 PM,9:45 PM,৳ 750
Emad Paribahan(Pvt.)Ltd.,9:15 PM,5:15 AM,৳ 650
Times Travels,9:15 PM,4:00 AM,৳ 750
Ena Transport (Pvt) Ltd,9:30 PM,2:30 AM,৳ 650
Tungipara Express,9:40 PM,4:00 AM,৳ 800
Emad Paribahan(Pvt.)Ltd.,9:45 PM,3:30 AM,৳ 650
Tungipara Express,9:45 PM,1:10 AM,৳ 650
Dola Paribahan Ltd,10:00 PM,3:00 AM,৳ 650
Dola Paribahan Ltd,10:00 PM,3:00 AM,৳ 650
Ena Transport (Pvt) Ltd,10:00 PM,2:30 AM,৳ 700 | ৳ 650
Ena Transport (Pvt) Ltd,10:00 PM,5:00 AM,৳ 650 | ৳ 600
Dola Paribahan Ltd,10:00 PM,3:00 AM,৳ 650
